MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature,label
22.86,41.24,29.56,14.83,49.38,11.1,2.21,1.4,32.09,14.29,55.1,34.6,excellent
22.75,41.5,29.72,14.83,49.38,11.23,2.23,1.39,31.92,14.58,55.1,34.6,excellent
22.75,41.5,29.72,14.83,49.38,11.28,2.22,1.42,34.31,14.4,55.1,34.6,excellent
22.86,42.56,29.56,14.77,49.38,11.46,2.22,1.39,34.12,14.64,55.4,34.5,excellent
23.07,42.03,29.56,14.83,49.38,11.46,2.22,1.39,33.93,14.58,55.4,34.4,excellent
23.18,41.24,29.41,14.77,47.84,11.5,2.21,1.38,32.63,14.64,55.4,34.4,excellent
23.07,41.24,28.96,14.77,48.22,11.46,2.21,1.39,32.09,14.64,55.4,34.4,excellent
23.28,41.24,28.96,14.71,48.98,11.46,2.22,1.37,33.17,14.76,55.4,34.4,excellent
22.96,40.99,29.26,14.77,48.22,11.19,2.19,1.39,32.45,14.34,55.4,34.5,excellent
23.07,40.99,29.11,14.71,48.22,11.23,2.22,1.4,32.09,14.23,55.4,34.5,excellent
22.75,41.76,29.56,14.83,48.6,11.06,2.21,1.4,31.92,14.46,55.8,34.5,excellent
22.96,41.24,29.26,14.71,48.98,11.01,2.23,1.39,31.74,14.58,55.8,34.5,excellent
23.18,41.5,29.26,14.71,48.98,11.19,2.21,1.42,32.27,14.7,55.8,34.4,excellent
23.07,42.03,29.11,14.77,48.98,11.06,2.21,1.4,31.92,14.52,55.8,34.4,excellent
22.96,41.76,29.87,14.83,48.98,10.63,2.21,1.39,31.4,14.58,55.8,34.4,excellent
23.39,42.29,29.87,14.95,48.22,11.01,2.19,1.4,30.9,14.76,55.8,34.3,excellent
23.18,42.29,29.87,14.77,48.6,10.97,2.21,1.4,30.57,14.52,55.8,34.3,excellent
23.5,41.5,29.41,14.71,49.77,10.84,2.21,1.39,30.57,14.76,55.8,34.2,excellent
23.18,42.03,29.87,14.83,49.38,10.55,2.21,1.42,30.41,14.82,55.8,34.2,excellent
23.39,42.56,29.87,14.83,49.38,10.72,2.19,1.42,30.25,14.58,55.8,34.2,excellent
23.61,41.5,29.56,14.71,48.98,10.76,2.19,1.42,30.25,14.82,55.8,34.1,excellent
23.61,41.76,29.41,14.71,48.98,10.93,2.21,1.43,31.57,14.7,56.2,34.1,excellent
23.5,41.76,29.56,14.71,48.98,11.15,2.19,1.42,30.9,14.82,56.2,34.1,excellent
23.61,41.5,29.72,14.83,49.38,11.28,2.19,1.4,30.41,14.82,56.2,34.1,excellent
23.72,41.24,29.56,14.71,48.98,11.37,2.21,1.4,29.93,14.82,56.2,34.1,excellent
23.39,41.24,29.87,14.71,48.22,11.46,2.19,1.4,29.46,14.94,56.2,34.1,excellent
23.61,41.24,29.41,14.77,48.98,11.41,2.21,1.39,33.74,14.88,56.2,34.0,excellent
25.85,38.33,28.09,14.83,47.84,8.61,2.19,1.38,32.45,15.75,56.2,33.9,excellent
25.85,37.65,28.23,14.95,47.84,8.24,2.21,1.4,33.36,15.95,56.2,34.0,excellent
26.1,37.88,27.81,14.83,48.6,8.24,2.21,1.4,32.99,16.08,56.2,34.0,excellent
25.85,37.88,28.09,14.95,48.22,7.18,2.19,1.38,32.63,15.88,56.2,34.1,excellent
25.72,37.88,27.95,14.89,48.22,7.5,2.21,1.39,32.81,16.08,56.2,34.1,excellent
25.85,38.1,27.95,14.83,47.47,7.56,2.19,1.34,32.27,15.88,56.2,34.1,excellent
25.85,37.88,27.81,14.89,47.84,6.87,2.19,1.37,32.81,15.88,56.2,34.1,excellent
26.1,37.88,27.67,14.77,48.98,7.47,2.19,1.39,32.45,15.56,56.2,34.2,excellent
26.1,37.65,27.67,14.83,48.98,7.65,2.19,1.4,32.45,15.69,56.2,34.1,excellent
25.85,37.88,27.67,14.89,48.6,7.86,2.21,1.38,32.63,15.56,56.2,34.1,excellent
25.85,37.43,27.67,14.89,48.6,7.53,2.21,1.39,32.63,15.69,56.2,34.1,excellent
25.85,37.43,27.53,14.89,48.6,7.44,2.19,1.4,32.81,15.88,56.2,34.1,excellent
25.72,37.65,27.53,14.83,47.84,7.47,2.21,1.39,32.81,15.5,56.2,34.1,excellent
26.1,36.99,27.25,14.77,48.22,7.15,2.21,1.38,32.27,15.43,56.2,34.1,excellent
25.85,37.65,27.53,14.89,47.84,7.12,2.19,1.38,32.45,15.88,56.2,34.1,excellent
25.72,37.43,27.53,14.83,48.6,7.18,2.18,1.38,32.09,15.56,56.2,34.1,excellent
25.97,37.21,27.25,14.77,47.47,7.38,2.21,1.4,32.81,15.95,56.2,34.1,excellent
26.1,36.57,27.12,14.77,48.6,7.29,2.19,1.4,32.63,15.5,56.2,34.1,excellent
25.85,37.21,27.25,14.83,48.6,7.53,2.19,1.38,32.45,15.31,56.2,34.1,excellent
26.1,36.35,27.12,14.71,48.6,6.84,2.18,1.39,32.63,15.62,56.2,34.1,excellent
25.72,36.57,27.25,14.71,47.47,7.41,2.19,1.38,32.27,15.56,56.2,34.1,excellent
25.72,36.78,27.12,14.36,49.38,7.38,2.18,1.37,32.09,15.56,56.5,34.1,excellent
26.1,36.14,27.12,14.71,48.22,7.23,2.19,1.39,32.45,15.75,56.5,33.9,excellent
25.72,36.57,27.39,14.83,48.6,7.06,2.18,1.39,32.45,15.62,56.5,34.0,excellent
26.1,36.57,27.12,14.83,48.6,7.29,2.19,1.39,32.45,15.25,56.5,33.9,excellent
25.6,36.35,27.95,14.71,48.6,7.56,2.19,1.38,32.09,15.75,56.5,33.9,excellent
24.29,33.4,26.2,14.47,41.54,6.79,2.24,1.47,30.57,14.94,56.5,33.9,excellent
24.29,33.4,26.07,14.53,41.25,6.81,2.23,1.48,30.73,15.31,56.5,33.9,excellent
24.17,32.85,26.07,14.53,41.25,6.76,2.23,1.47,30.41,14.76,56.5,33.9,excellent
24.17,33.21,26.07,14.53,41.83,6.79,2.23,1.44,30.25,14.88,56.5,33.9,excellent
23.95,33.03,26.2,14.59,41.54,6.76,2.23,1.45,30.25,15.25,56.5,33.9,excellent
23.95,32.32,25.82,14.36,40.96,6.68,2.22,1.45,30.09,15.18,56.5,33.8,excellent
23.72,32.32,26.2,14.42,40.96,6.6,2.23,1.47,30.41,15.25,56.5,33.9,excellent
23.72,32.67,26.07,14.53,41.83,6.52,2.24,1.47,31.4,15.18,56.5,33.8,excellent
23.95,32.49,26.07,14.53,41.83,6.7,2.24,1.48,30.25,14.7,56.5,33.8,excellent
23.61,33.03,26.46,14.59,41.83,6.68,2.24,1.47,30.09,15.06,56.5,33.8,excellent
23.72,33.21,26.46,14.65,41.83,6.7,2.24,1.49,30.41,15.18,56.5,33.8,excellent
23.61,32.14,25.82,14.36,40.96,6.7,2.22,1.45,30.57,15.0,56.5,33.8,excellent
23.39,32.49,25.82,14.36,40.96,6.65,2.22,1.45,29.61,14.64,56.5,33.5,excellent
22.96,31.8,25.69,14.3,40.11,6.46,2.22,1.44,29.3,14.7,56.5,33.8,excellent
22.54,31.29,25.69,14.13,39.29,6.36,2.21,1.47,29.3,14.46,56.5,33.8,excellent
22.24,30.8,24.96,13.96,36.99,6.16,2.17,1.39,28.12,14.11,56.5,33.8,excellent
21.93,30.0,24.72,13.9,36.27,6.11,2.18,1.44,28.26,14.23,56.5,33.9,excellent
20.6,28.63,23.69,13.35,33.2,5.67,2.12,1.37,26.2,13.61,56.5,33.8,excellent
20.42,27.92,23.47,13.3,32.6,5.48,2.11,1.37,25.95,13.4,56.5,33.7,excellent
20.24,27.78,23.47,13.35,32.4,5.43,2.13,1.38,26.07,13.45,56.5,33.7,excellent
19.45,26.82,22.83,12.98,30.35,5.28,2.11,1.35,25.07,13.34,56.5,33.6,excellent
18.87,25.79,22.2,12.78,28.82,4.97,2.08,1.33,24.36,12.62,56.5,33.6,excellent
18.87,25.54,21.9,12.78,28.82,5.08,2.13,1.34,24.48,12.67,56.5,33.6,excellent
21.64,29.08,24.14,14.13,36.99,5.84,2.31,1.44,28.7,14.06,56.5,33.7,excellent
18.47,26.82,23.04,13.09,30.53,5.1,2.06,1.32,24.83,13.03,56.5,33.7,excellent
20.97,29.08,24.03,13.9,35.13,5.74,2.23,1.42,27.69,14.11,56.5,33.7,excellent
22.03,30.31,24.72,14.36,39.56,6.08,2.28,1.44,29.3,14.17,56.5,33.7,excellent
22.24,31.12,25.32,14.42,40.11,6.11,2.27,1.45,29.46,14.4,56.5,33.8,excellent
