MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
33.21,13.63,6.31,24.9,40.1,26.7,accept
35.73,11.49,5.72,23.27,41.2,26.8,accept
32.14,11.67,5.74,23.71,41.0,26.8,accept
35.73,11.86,5.81,22.98,40.8,26.8,accept
30.15,11.9,5.77,23.85,40.7,26.8,accept
35.32,11.72,5.74,23.6,41.2,26.8,accept
35.73,11.81,5.79,22.99,40.9,26.8,accept
35.53,11.76,5.79,23.0,40.9,26.8,accept
35.73,11.9,5.83,22.98,40.8,26.8,accept
35.53,11.53,5.74,23.12,41.1,26.8,accept
30.31,12.14,5.85,23.98,40.5,26.8,accept
35.53,11.63,5.74,23.11,41.0,26.8,accept
35.73,11.53,5.73,23.4,41.2,26.8,accept
35.32,11.58,5.74,23.12,41.1,26.8,accept
30.15,12.0,5.81,23.93,40.6,26.8,accept
33.58,11.67,5.74,23.68,41.2,26.8,accept
31.63,12.88,6.09,24.47,40.2,26.8,accept
35.73,11.81,5.81,22.98,40.8,26.8,accept
35.32,11.58,5.74,23.12,41.1,26.8,accept
34.73,11.67,5.74,23.64,41.2,26.8,accept
35.53,11.86,5.81,22.98,40.8,26.8,accept
31.8,11.72,5.74,23.73,41.0,26.8,accept
34.93,11.67,5.74,23.63,41.2,26.8,accept
35.73,11.81,5.79,22.99,40.8,26.8,accept
30.15,11.86,5.77,23.84,40.7,26.8,accept
35.73,11.9,5.81,22.98,40.8,26.8,accept
35.53,11.49,5.72,23.24,41.2,26.8,accept
31.12,12.63,6.02,24.33,40.3,26.8,accept
35.73,11.49,5.72,23.26,41.2,26.8,accept
30.63,11.81,5.74,23.83,40.8,26.8,accept
35.32,11.67,5.77,23.09,41.0,26.8,accept
35.73,11.81,5.79,22.99,40.8,26.8,accept
30.47,12.19,5.9,24.05,40.4,26.8,accept
32.67,13.36,6.24,24.77,40.1,26.7,accept
35.73,11.9,5.81,22.98,40.8,26.8,accept
35.53,11.72,5.77,23.06,40.9,26.8,accept
34.34,11.67,5.74,23.66,41.2,26.8,accept
32.67,11.67,5.74,23.69,41.1,26.8,accept
35.53,11.76,5.79,23.0,40.9,26.8,accept
33.21,11.67,5.73,23.68,41.2,26.8,accept
35.53,11.67,5.77,23.08,41.0,26.8,accept
35.32,11.58,5.74,23.12,41.1,26.8,accept
35.73,11.49,5.72,23.34,41.2,26.8,accept
35.53,11.67,5.74,23.54,41.2,26.8,accept
30.8,12.48,5.97,24.27,40.3,26.8,accept
30.31,12.05,5.83,23.98,40.6,26.8,accept
30.31,11.81,5.76,23.84,40.8,26.8,accept
35.94,12.14,5.88,22.98,40.6,26.8,accept
55.78,29.57,11.4,31.62,37.8,26.6,accept
39.03,13.96,6.28,23.26,40.2,26.9,accept
