MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
42.83,19.07,10.31,8.44,44.0,26.8,accept
43.39,20.02,10.55,8.75,44.0,26.8,accept
42.56,18.67,10.28,8.37,44.0,26.8,accept
42.03,17.66,10.37,8.27,44.0,26.8,accept
43.39,19.93,10.55,8.76,44.0,26.8,accept
42.56,18.75,10.28,8.37,44.0,26.8,accept
42.03,17.73,10.32,8.26,44.0,26.8,accept
43.11,19.93,10.57,8.78,44.0,26.9,accept
42.56,19.33,10.5,8.79,44.0,26.9,accept
42.83,19.41,10.5,8.81,44.1,26.9,accept
42.83,19.33,10.5,8.79,44.1,26.9,accept
42.83,19.16,10.32,8.46,44.0,26.8,accept
43.11,19.75,10.37,8.55,44.1,26.9,accept
42.83,19.33,10.5,8.79,44.1,26.9,accept
42.83,19.33,10.32,8.47,44.0,26.8,accept
42.03,17.66,10.33,8.26,44.0,26.8,accept
43.39,20.02,10.55,8.74,44.0,26.8,accept
42.83,18.99,10.28,8.41,44.0,26.8,accept
42.29,18.19,10.29,8.3,44.1,26.9,accept
43.39,19.84,10.41,8.57,44.1,26.9,accept
42.03,17.96,10.32,8.27,44.1,26.9,accept
43.11,19.93,10.59,8.79,44.0,26.9,accept
43.39,19.93,10.42,8.61,44.1,26.9,accept
42.83,18.91,10.28,8.4,44.0,26.8,accept
42.03,17.88,10.32,8.27,44.1,26.9,accept
42.56,18.59,10.28,8.36,44.0,26.8,accept
43.11,19.84,10.59,8.81,44.0,26.8,accept
42.83,19.49,10.55,8.79,44.1,26.9,accept
42.83,19.41,10.32,8.5,44.0,26.8,accept
43.11,19.84,10.61,8.93,44.1,26.9,accept
42.83,19.58,10.55,8.86,44.1,26.9,accept
43.39,19.93,10.64,8.94,44.1,26.9,accept
43.39,20.02,10.5,8.69,44.0,26.9,accept
42.83,19.33,10.5,8.79,44.1,26.9,accept
43.11,19.84,10.59,8.82,44.0,26.8,accept
42.29,18.51,10.28,8.34,44.0,26.8,accept
42.83,19.67,10.59,8.81,44.0,26.8,accept
42.83,19.41,10.55,8.79,44.1,26.9,accept
43.39,20.02,10.5,8.71,44.0,26.9,accept
43.39,20.02,10.5,8.68,44.0,26.8,accept
43.11,19.58,10.54,8.84,44.1,26.9,accept
43.11,19.75,10.57,8.89,44.0,26.8,accept
42.03,18.04,10.3,8.28,44.1,26.9,accept
43.11,19.75,10.59,8.89,44.0,26.8,accept
42.29,18.11,10.29,8.3,44.1,26.9,accept
43.39,20.02,10.46,8.65,44.0,26.8,accept
42.29,18.35,10.28,8.33,44.0,26.8,accept
48.94,23.91,12.56,19.89,41.6,27.1,accept
49.98,24.25,12.53,16.29,42.9,27.2,accept
48.94,24.36,12.63,18.64,42.1,27.1,accept
46.96,21.99,10.91,10.03,44.4,26.9,accept
48.94,23.79,12.51,21.25,41.1,27.0,accept
48.94,23.79,12.52,21.28,41.1,27.0,accept
48.6,23.68,12.52,19.52,41.5,27.1,accept
49.98,24.6,11.96,13.7,43.9,27.1,accept
48.94,24.48,12.8,20.47,41.5,27.0,accept
48.6,23.35,12.47,20.68,41.0,27.0,accept
48.94,23.57,11.55,12.33,44.1,27.0,accept
48.94,23.91,12.55,19.79,41.6,27.1,accept
48.26,23.35,12.74,19.04,42.1,27.1,accept
